291: : Sorry!  ; cur: 1, Avg: 4.738832
292: : Sorry!  ; cur: 1, Avg: 4.726027
293: : Sorry!  ; cur: 1, Avg: 4.713311
294: : Sorry!  ; cur: 1, Avg: 4.700680
295: : Sorry!  ; cur: 1, Avg: 4.688136
296: : Sorry!  ; cur: 2, Avg: 4.679054
297: : Sorry!  ; cur: 1, Avg: 4.666667
298: : Sorry!  ; cur: 6, Avg: 4.671141
299: : Sorry!  ; cur: 14, Avg: 4.702341
300: : Sorry!  ; cur: 4, Avg: 4.700000
301: : Sorry!  ; cur: 5, Avg: 4.700997
302: : Sorry!  ; cur: 4, Avg: 4.698675
303: : Sorry!  ; cur: 15, Avg: 4.732673
304: : Sorry!  ; cur: 1, Avg: 4.720395
305: : Sorry!  ; cur: 12, Avg: 4.744262
306: : Sorry!  ; cur: 1, Avg: 4.732026
307: : Sorry!  ; cur: 1, Avg: 4.719870
308: : Sorry!  ; cur: 3, Avg: 4.714286
309: : Sorry!  ; cur: 1, Avg: 4.702265
310: : Sorry!  ; cur: 1, Avg: 4.690323
311: : Sorry!  ; cur: 1, Avg: 4.678457
312: : Sorry!  ; cur: 1, Avg: 4.666667
313: : Sorry!  ; cur: 4, Avg: 4.664537
314: : Sorry!  ; cur: 1, Avg: 4.652866
315: : Sorry!  ; cur: 2, Avg: 4.644444
316: : Sorry!  ; cur: 4, Avg: 4.642405
317: : Sorry!  ; cur: 1, Avg: 4.630915
318: : Sorry!  ; cur: 4, Avg: 4.628931
319: : Sorry!  ; cur: 4, Avg: 4.626959
320: : Sorry!  ; cur: 7, Avg: 4.634375
321: : Sorry!  ; cur: 3, Avg: 4.629283
322: : Sorry!  ; cur: 1, Avg: 4.618012
323: : Sorry!  ; cur: 1, Avg: 4.606811
324: : Sorry!  ; cur: 6, Avg: 4.611111
325: : Sorry!  ; cur: 1, Avg: 4.600000
326: : Sorry!  ; cur: 6, Avg: 4.604294
327: : Sorry!  ; cur: 8, Avg: 4.614679
328: : Sorry!  ; cur: 3, Avg: 4.609756
329: : Sorry!  ; cur: 1, Avg: 4.598784
330: : Sorry!  ; cur: 7, Avg: 4.606061
331: : Sorry!  ; cur: 5, Avg: 4.607251
332: : Sorry!  ; cur: 3, Avg: 4.602410
333: : Sorry!  ; cur: 7, Avg: 4.609610
334: : Sorry!  ; cur: 4, Avg: 4.607784
335: : Sorry!  ; cur: 1, Avg: 4.597015
336: : Sorry!  ; cur: 3, Avg: 4.592262
337: : Sorry!  ; cur: 8, Avg: 4.602374
338: : Sorry!  ; cur: 1, Avg: 4.591716
339: : Sorry!  ; cur: 3, Avg: 4.587021
340: : Sorry!  ; cur: 6, Avg: 4.591176
341: : Sorry!  ; cur: 7, Avg: 4.598240
342: : Sorry!  ; cur: 3, Avg: 4.593567
343: : Sorry!  ; cur: 7, Avg: 4.600583
