245: Sorry!  ; cur: 2, Avg: 4.012245
246: Sorry!  ; cur: 2, Avg: 4.004065
247: Sorry!  ; cur: 1, Avg: 3.991903
248: Sorry!  ; cur: 1, Avg: 3.979839
249: Sorry!  ; cur: 1, Avg: 3.967871
250: Sorry!  ; cur: 4, Avg: 3.968000
251: Sorry!  ; cur: 2, Avg: 3.960159
252: Sorry!  ; cur: 1, Avg: 3.948413
253: Sorry!  ; cur: 11, Avg: 3.976285
254: Sorry!  ; cur: 1, Avg: 3.964567
255: Sorry!  ; cur: 6, Avg: 3.972549
256: Sorry!  ; cur: 1, Avg: 3.960938
257: Sorry!  ; cur: 1, Avg: 3.949416
258: Sorry!  ; cur: 2, Avg: 3.941860
259: Sorry!  ; cur: 2, Avg: 3.934363
260: Sorry!  ; cur: 1, Avg: 3.923077
261: Sorry!  ; cur: 2, Avg: 3.915709
262: Sorry!  ; cur: 1, Avg: 3.904580
263: Sorry!  ; cur: 2, Avg: 3.897338
264: Sorry!  ; cur: 1, Avg: 3.886364
265: Sorry!  ; cur: 3, Avg: 3.883019
266: Sorry!  ; cur: 1, Avg: 3.872180
267: Sorry!  ; cur: 1, Avg: 3.861423
268: Sorry!  ; cur: 1, Avg: 3.850746
269: Sorry!  ; cur: 2, Avg: 3.843866
270: Sorry!  ; cur: 15, Avg: 3.885185
271: Sorry!  ; cur: 8, Avg: 3.900369
272: Sorry!  ; cur: 3, Avg: 3.897059
273: Sorry!  ; cur: 25, Avg: 3.974359
274: Sorry!  ; cur: 4, Avg: 3.974453
275: Sorry!  ; cur: 1, Avg: 3.963636
276: Sorry!  ; cur: 7, Avg: 3.974638
277: Sorry!  ; cur: 1, Avg: 3.963899
278: Sorry!  ; cur: 3, Avg: 3.960432
279: Sorry!  ; cur: 4, Avg: 3.960573
280: Sorry!  ; cur: 2, Avg: 3.953571
281: Sorry!  ; cur: 1, Avg: 3.943060
282: Sorry!  ; cur: 6, Avg: 3.950355
283: Sorry!  ; cur: 1, Avg: 3.939929
284: Sorry!  ; cur: 1, Avg: 3.929577
285: Sorry!  ; cur: 1, Avg: 3.919298
286: Sorry!  ; cur: 14, Avg: 3.954545
287: Sorry!  ; cur: 1, Avg: 3.944251
288: Sorry!  ; cur: 10, Avg: 3.965278
289: Sorry!  ; cur: 1, Avg: 3.955017
290: Sorry!  ; cur: 1, Avg: 3.944828
291: Sorry!  ; cur: 37, Avg: 4.058419
292: Sorry!  ; cur: 1, Avg: 4.047945
293: Sorry!  ; cur: 6, Avg: 4.054608
294: Sorry!  ; cur: 1, Avg: 4.044218
295: Sorry!  ; cur: 4, Avg: 4.044068
296: Sorry!  ; cur: 18, Avg: 4.091216
297: Sorry!  ; cur: 2, Avg: 4.084175
298: Sorry!  ; cur: 1, Avg: 4.073826
299: Sorry!  ; cur: 22, Avg: 4.133779
300: Sorry!  ; cur: 3, Avg: 4.130000
301: Sorry!  ; cur: 2, Avg: 4.122924
302: Sorry!  ; cur: 2, Avg: 4.115894
303: Sorry!  ; cur: 1, Avg: 4.105611
304: Sorry!  ; cur: 2, Avg: 4.098684
305: Sorry!  ; cur: 3, Avg: 4.095082
306: Sorry!  ; cur: 1, Avg: 4.084967
307: Sorry!  ; cur: 12, Avg: 4.110749
308: Sorry!  ; cur: 1, Avg: 4.100649
309: Sorry!  ; cur: 4, Avg: 4.100324
310: Sorry!  ; cur: 13, Avg: 4.129032
311: Sorry!  ; cur: 6, Avg: 4.135048
312: Sorry!  ; cur: 2, Avg: 4.128205
313: Sorry!  ; cur: 5, Avg: 4.130990
314: Sorry!  ; cur: 3, Avg: 4.127389
315: Sorry!  ; cur: 3, Avg: 4.123810
316: Sorry!  ; cur: 2, Avg: 4.117089
317: Sorry!  ; cur: 1, Avg: 4.107256
318: Sorry!  ; cur: 3, Avg: 4.103774
319: Sorry!  ; cur: 2, Avg: 4.097179
320: Sorry!  ; cur: 16, Avg: 4.134375
321: Sorry!  ; cur: 3, Avg: 4.130841
322: Sorry!  ; cur: 3, Avg: 4.127329
323: Sorry!  ; cur: 8, Avg: 4.139319
324: Sorry!  ; cur: 1, Avg: 4.129630
325: Sorry!  ; cur: 6, Avg: 4.135385
326: Sorry!  ; cur: 4, Avg: 4.134969
327: Sorry!  ; cur: 1, Avg: 4.125382
328: Sorry!  ; cur: 1, Avg: 4.115854
329: Sorry!  ; cur: 1, Avg: 4.106383
330: Sorry!  ; cur: 1, Avg: 4.096970
331: Sorry!  ; cur: 3, Avg: 4.093656
332: Sorry!  ; cur: 1, Avg: 4.084337
333: Sorry!  ; cur: 11, Avg: 4.105105
334: Sorry!  ; cur: 5, Avg: 4.107784
335: Sorry!  ; cur: 1, Avg: 4.098507
336: Sorry!  ; cur: 5, Avg: 4.101190
337: Sorry!  ; cur: 3, Avg: 4.097923
338: Sorry!  ; cur: 3, Avg: 4.094675
339: Sorry!  ; cur: 1, Avg: 4.085546
340: Sorry!  ; cur: 10, Avg: 4.102941
341: Sorry!  ; cur: 2, Avg: 4.096774
342: Sorry!  ; cur: 5, Avg: 4.099415
343: Sorry!  ; cur: 7, Avg: 4.107872
344: Sorry!  ; cur: 6, Avg: 4.113372
345: Sorry!  ; cur: 1, Avg: 4.104348
346: Sorry!  ; cur: 16, Avg: 4.138728
347: Sorry!  ; cur: 1, Avg: 4.129683
348: Sorry!  ; cur: 1, Avg: 4.120690
349: Sorry!  ; cur: 3, Avg: 4.117479
