319: Sorry!  ; cur: 6, Avg: 4.090909
320: Sorry!  ; cur: 2, Avg: 4.084375
321: Sorry!  ; cur: 1, Avg: 4.074766
322: Sorry!  ; cur: 1, Avg: 4.065217
323: Sorry!  ; cur: 6, Avg: 4.071207
324: Sorry!  ; cur: 2, Avg: 4.064815
325: Sorry!  ; cur: 2, Avg: 4.058462
326: Sorry!  ; cur: 1, Avg: 4.049080
327: Sorry!  ; cur: 3, Avg: 4.045872
328: Sorry!  ; cur: 1, Avg: 4.036585
329: Sorry!  ; cur: 4, Avg: 4.036474
330: Sorry!  ; cur: 3, Avg: 4.033333
331: Sorry!  ; cur: 5, Avg: 4.036254
332: Sorry!  ; cur: 1, Avg: 4.027108
333: Sorry!  ; cur: 6, Avg: 4.033033
334: Sorry!  ; cur: 1, Avg: 4.023952
335: Sorry!  ; cur: 7, Avg: 4.032836
336: Sorry!  ; cur: 2, Avg: 4.026786
337: Sorry!  ; cur: 3, Avg: 4.023739
338: Sorry!  ; cur: 6, Avg: 4.029586
339: Sorry!  ; cur: 10, Avg: 4.047198
340: Sorry!  ; cur: 2, Avg: 4.041176
341: Sorry!  ; cur: 5, Avg: 4.043988
342: Sorry!  ; cur: 1, Avg: 4.035088
343: Sorry!  ; cur: 1, Avg: 4.026239
344: Sorry!  ; cur: 3, Avg: 4.023256
345: Sorry!  ; cur: 1, Avg: 4.014493
346: Sorry!  ; cur: 2, Avg: 4.008671
347: Sorry!  ; cur: 1, Avg: 4.000000
348: Sorry!  ; cur: 4, Avg: 4.000000
349: Sorry!  ; cur: 1, Avg: 3.991404
350: Sorry!  ; cur: 3, Avg: 3.988571
351: Sorry!  ; cur: 3, Avg: 3.985755
352: Sorry!  ; cur: 12, Avg: 4.008523
353: Sorry!  ; cur: 2, Avg: 4.002833
354: Sorry!  ; cur: 14, Avg: 4.031073
355: Sorry!  ; cur: 5, Avg: 4.033803
356: Sorry!  ; cur: 2, Avg: 4.028090
357: Sorry!  ; cur: 2, Avg: 4.022409
358: Sorry!  ; cur: 1, Avg: 4.013966
359: Sorry!  ; cur: 2, Avg: 4.008357
360: Sorry!  ; cur: 1, Avg: 4.000000
361: Sorry!  ; cur: 13, Avg: 4.024931
362: Sorry!  ; cur: 3, Avg: 4.022099
363: Sorry!  ; cur: 2, Avg: 4.016529
364: Sorry!  ; cur: 5, Avg: 4.019231
365: Sorry!  ; cur: 12, Avg: 4.041096
366: Sorry!  ; cur: 1, Avg: 4.032787
367: Sorry!  ; cur: 1, Avg: 4.024523
368: Sorry!  ; cur: 9, Avg: 4.038043
369: Sorry!  ; cur: 1, Avg: 4.029810
370: Sorry!  ; cur: 3, Avg: 4.027027
371: Sorry!  ; cur: 1, Avg: 4.018868
372: Sorry!  ; cur: 2, Avg: 4.013441
373: Sorry!  ; cur: 2, Avg: 4.008043
374: Sorry!  ; cur: 1, Avg: 4.000000
375: Sorry!  ; cur: 7, Avg: 4.008000
376: Sorry!  ; cur: 1, Avg: 4.000000
377: Sorry!  ; cur: 1, Avg: 3.992042
378: Sorry!  ; cur: 1, Avg: 3.984127
379: Sorry!  ; cur: 1, Avg: 3.976253
380: Sorry!  ; cur: 4, Avg: 3.976316
381: Sorry!  ; cur: 2, Avg: 3.971129
382: Sorry!  ; cur: 1, Avg: 3.963351
383: Sorry!  ; cur: 6, Avg: 3.968668
384: Sorry!  ; cur: 3, Avg: 3.966146
385: Sorry!  ; cur: 1, Avg: 3.958442
386: Sorry!  ; cur: 2, Avg: 3.953368
387: Sorry!  ; cur: 3, Avg: 3.950904
388: Sorry!  ; cur: 1, Avg: 3.943299
389: Sorry!  ; cur: 2, Avg: 3.938303
390: Sorry!  ; cur: 3, Avg: 3.935897
391: Sorry!  ; cur: 4, Avg: 3.936061
392: Sorry!  ; cur: 1, Avg: 3.928571
393: Sorry!  ; cur: 9, Avg: 3.941476
394: Sorry!  ; cur: 1, Avg: 3.934010
395: Sorry!  ; cur: 6, Avg: 3.939241
396: Sorry!  ; cur: 1, Avg: 3.931818
397: Sorry!  ; cur: 4, Avg: 3.931990
398: Sorry!  ; cur: 1, Avg: 3.924623
399: Sorry!  ; cur: 4, Avg: 3.924812
400: Sorry!  ; cur: 1, Avg: 3.917500
401: Sorry!  ; cur: 1, Avg: 3.910224
402: Sorry!  ; cur: 13, Avg: 3.932836
403: Sorry!  ; cur: 6, Avg: 3.937965
404: Sorry!  ; cur: 2, Avg: 3.933168
405: Sorry!  ; cur: 1, Avg: 3.925926
406: Sorry!  ; cur: 16, Avg: 3.955665
407: Sorry!  ; cur: 4, Avg: 3.955774
408: Sorry!  ; cur: 6, Avg: 3.960784
409: Sorry!  ; cur: 2, Avg: 3.955990
410: Sorry!  ; cur: 2, Avg: 3.951220
411: Sorry!  ; cur: 1, Avg: 3.944039
412: Sorry!  ; cur: 6, Avg: 3.949029
413: Sorry!  ; cur: 3, Avg: 3.946731
414: Sorry!  ; cur: 2, Avg: 3.942029
415: Sorry!  ; cur: 2, Avg: 3.937349
416: Sorry!  ; cur: 5, Avg: 3.939904
417: Sorry!  ; cur: 5, Avg: 3.942446
418: Sorry!  ; cur: 9, Avg: 3.954545
419: Sorry!  ; cur: 1, Avg: 3.947494
420: Sorry!  ; cur: 1, Avg: 3.940476
421: Sorry!  ; cur: 1, Avg: 3.933492
422: Sorry!  ; cur: 3, Avg: 3.931280
423: Sorry!  ; cur: 1, Avg: 3.924350
424: Sorry!  ; cur: 5, Avg: 3.926887
425: Sorry!  ; cur: 4, Avg: 3.927059
426: Sorry!  ; cur: 19, Avg: 3.962441
427: Sorry!  ; cur: 14, Avg: 3.985948
428: Sorry!  ; cur: 5, Avg: 3.988318
429: Sorry!  ; cur: 1, Avg: 3.981352
430: Sorry!  ; cur: 2, Avg: 3.976744
431: Sorry!  ; cur: 1, Avg: 3.969838
432: Sorry!  ; cur: 3, Avg: 3.967593
433: Sorry!  ; cur: 7, Avg: 3.974596
434: Sorry!  ; cur: 2, Avg: 3.970046
435: Sorry!  ; cur: 11, Avg: 3.986207
436: Sorry!  ; cur: 2, Avg: 3.981651
437: Sorry!  ; cur: 2, Avg: 3.977117
438: Sorry!  ; cur: 4, Avg: 3.977169
439: Sorry!  ; cur: 1, Avg: 3.970387
